id;name;lat;lon;city;address;website;description;image_url;google_place_id;google_rating;google_user_ratings_total;google_editorial_summary
gym_000001;Abbekås utegym;55.39620448152839;13.595291433173507;Trelleborg;Högastensvägen 10, 274 56 Abbekås, Sweden;;;;ChIJ2U-M_7WBVEYRuvT7-wk1MtE;;;
gym_000002;Åby utegym;57.6498094;12.0112492;Mölndal;Ridlärargatan, Stallbacken, Åby, Mölndal, Mölndals kommun, Västra Götalands län, 431 32, Sverige;;"Vid Åby näridrottsplats finns ett helt nytt utegym där du kan genomföra en stor mängd övningar. Vid Åby när­idrotts­plats finns även en aktivitetsbox från Piffl, där du kan hyra material för lek och träning.

Här finns även en hinderbana som testar din övre och nedre kroppsstyrka, koordination, balans, koncentration och tävlingssinne.";https://www.molndal.se/images/18.455ddee518002b85c4ea3d6e/1744359806279/utegym_aby855x500tef.webp;ChIJ_0cZfgDzT0YRtitwQgGwWLI;;;
gym_000003;Åbylundsgatans utegym;58.4170689;15.5999798;Linköping;Åbylundsgatan, Åbylund, Gottfridsberg, Linköpings domkyrkodistrikt, Linköping, Linköpings kommun, Östergötlands län, 582 36, Sverige;;;;;;;
gym_000004;Åbysäckens utegym;58.3924727;15.6920802;Linköping;Vintervägen 15, 589 41 Linköping;;;;;;;
gym_000005;Adventsparken (utegym 2356);57.75845461427868;12.035940885543825;Göteborg;;https://goteborg.se/wps/portal/start/uppleva-och-gora/idrott-motion-och-friluftsliv/motion-och-halsa/utomhusmotion/hitta-utegym-och-utetraning?id=7002;Gymmet består av sex olika träningsmaskiner med reglerbara vikter och en crossfit träningsställning där du kan träna både statisk och dynamisk träning på de olika modulerna. Där finns möjlighet att välja fokusområden som mage, armar, axlar och ben. På plats finns en informationstavla som ger råd och tips på övningar för att träna rätt och säkert. Här hittar du även två stycken pingisbord. Närmaste hållplats: Backa Kyrkogata Gymmet består av sex olika träningsmaskiner med reglerbara vikter och en crossfit träningsställning där du kan träna både statisk och dynamisk träning på de olika modulerna. Där finns möjlighet att välja fokusområden som mage, armar, axlar och ben. På plats finns en informationstavla som ger råd och tips på övningar för att träna rätt och säkert. Här hittar du även två stycken pingisbord. ;https://s3.eu-north-1.amazonaws.com/gbg.serviceguiden/6284fc7a6b2555335d8c434f_6284fd9f6b2555335d8db283_large.jpg;;;;
gym_000006;Ågesta utegym;59.223527;18.102705;Stockholm;Bonäsvägen 9, 12352, Farsta;https://motionera.stockholm/hitta-utegym/utegym/agestas-utegym;Ågesta motionsområde har ett utegym i trä. Klicka på Mina favoriter för att jämföra dina sparade verksamheter.;https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/91d97051-f0cb-4215-9502-94a5b29fc112.jpeg;ChIJsas53NR7X0YRzf-nuMiQTAs;4.4;51;
gym_000007;Aggeruds utegym;59.3035064;14.5092295;Karlskoga;Aggerudsspåret, Aggerud, Karlskoga, Karlskoga kommun, Örebro län, 691 44, Sverige;;;;;;;
gym_000008;Agnesbergs utegym;59.3814146;17.997244;Solna;Bagartorpsringen, Agnesberg, Bagartorp, Solna, Solna kommun, Stockholms län, 170 65, Sverige;;;;;;;
gym_000009;Akalla Gårds utegym;59.411778;17.915575;Stockholm;Imatragatan 230, 16478, Kista;https://motionera.stockholm/hitta-utegym/utegym/akalla-gards-utegym;Ett komplett utegym vid Akalla gårds bollplan. Klicka på Mina favoriter för att jämföra dina sparade verksamheter. Här finns även en räckhäv i olika nivåer och en stretchyta. Du åker blå tunnelbanelinje till Akalla och promenerar cirka 350 meter till gymmet.;https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/63d513a6-d851-4f04-a4f6-946d180cdb56.jpeg;ChIJkxc275GfX0YRndo36RBoREM;4.3;16;
gym_000010;Åkerbys utegym;59.5832856;14.9738472;Smedstorp;T 767, Smedstorp, Nora kommun, Örebro län, Sverige;;;;;;;
